no_cidade,nota,data_ref
"Coronel Xavier Chaves","10","2011-12-31"
"Crisólita","8.69480834546337","2011-12-31"
"Ituverava","5.85360887712511","2011-12-31"
"Sananduva","8.97072710103872","2011-12-31"
"Umburanas","5.50425313606726","2011-12-31"
"Alterosa","10","2011-12-31"
"Cristália","7.63751917598071","2011-12-31"
"Cristina","9.50950950950951","2011-12-31"
"Mirandópolis","5.7207498383969","2011-12-31"
"Brasília de Minas","7.66601317046197","2011-12-31"
"Açucena","10","2011-12-31"
"Papanduva","10","2011-12-31"
"Curvelo","8.72309385161282","2011-12-31"
"Datas","7.3878110915148","2011-12-31"
"Igarapé-Açu","4.75611656537323","2011-12-31"
"Desterro de Entre Rios","10","2011-12-31"
"Diamantina","6.27672955974843","2011-12-31"
"Diogo de Vasconcelos","8.75671210243701","2011-12-31"
"Dionísio","6.38712823013164","2011-12-31"
"Campina do Simão","10","2011-12-31"
"Divino","9.91523904637525","2011-12-31"
"Divino das Laranjeiras","9.63356973995272","2011-12-31"
"Divinópolis","5.14109658934809","2011-12-31"
"Divisa Nova","10","2011-12-31"
"Dom Bosco","7.49730312837109","2011-12-31"
"Dores do Indaiá","8.04058549567531","2011-12-31"
"Douradoquara","10","2011-12-31"
"Durandé","6.75533037787629","2011-12-31"
"Engenheiro Caldas","7.2310405643739","2011-12-31"
"Engenheiro Navarro","10","2011-12-31"
"Entre Folhas","6.63051750380517","2011-12-31"
"Paraúna","9.83440778662622","2011-12-31"
"Entre Rios de Minas","10","2011-12-31"
"Esmeraldas","7.30864913170543","2011-12-31"
"Santa Maria da Boa Vista","4.94595763078253","2011-12-31"
"Aparecida do Taboado","7.86318469245298","2011-12-31"
"Nova Canaã","7.07363405132168","2011-12-31"
"Oeiras","4.30255895634722","2011-12-31"
"Espera Feliz","9.45565220967775","2011-12-31"
"Estiva","8.66415028851577","2011-12-31"
"Estrela Dalva","3.24483775811209","2011-12-31"
"Estrela do Indaiá","7.01058201058201","2011-12-31"
"Palmeirina","4.51739618406285","2011-12-31"
"Estrela do Sul","6.61249834852689","2011-12-31"
"Faria Lemos","4.36668162105578","2011-12-31"
"Ilha Grande","7.51128919417414","2011-12-31"
"São Gonçalo do Rio Preto","9.41059930658742","2011-12-31"
"Felixlândia","9.4896004378763","2011-12-31"
"Ferros","9.44674965421853","2011-12-31"
"Itapiranga","10","2011-12-31"
"Foz do Jordão","9.05838041431262","2011-12-31"
"Sarzedo","8.89660981259212","2011-12-31"
"Formoso","7.03407771631496","2011-12-31"
"Fortaleza de Minas","9.65038314176245","2011-12-31"
"Fronteira","6.8945339391436","2011-12-31"
"Serraria","7.49115950120975","2011-12-31"
"Mangaratiba","6.68809976131326","2011-12-31"
"Funilândia","6.97855750487329","2011-12-31"
"Galiléia","4.72784249608284","2011-12-31"
"Gouveia","9.93574101187571","2011-12-31"
"Governador Valadares","6.33645761128357","2011-12-31"
"Grão Mogol","9.10609857978279","2011-12-31"
"São João do Oeste","10","2011-12-31"
"Araças","8.67670739793502","2011-12-31"
"Sertão Santana","6.14478114478114","2011-12-31"
"Grupiara","10","2011-12-31"
"Itatiaiuçu","7.44810744810745","2011-12-31"
"Guanhães","10","2011-12-31"
"Guaraciama","10","2011-12-31"
"Guarará","7.21686316541622","2011-12-31"
"Guarda-Mor","8.28972317026924","2011-12-31"
"Guidoval","9.20956734910223","2011-12-31"
"Guiricema","3.76001307830636","2011-12-31"
"Iapu","9.45926867146689","2011-12-31"
"Ibiá","10","2011-12-31"
"Ibiaí","8.49548787366046","2011-12-31"
"Ibiraci","9.14520343411721","2011-12-31"
"Guarapari","5.71172739081634","2011-12-31"
"Ilicínea","10","2011-12-31"
"Indianópolis","10","2011-12-31"
"Inhaúma","10","2011-12-31"
"Ipaba","6.12859097127223","2011-12-31"
"São João da Urtiga","8.84078884078884","2011-12-31"
"Tabapuã","5.98790240733975","2011-12-31"
"Santa Rosa de Viterbo","5.46100111921578","2011-12-31"
"Santa Cruz da Conceição","8.28490028490029","2011-12-31"
"Mogi Guaçu","7.07577023366497","2011-12-31"
"Areia Branca","3.55681460497325","2011-12-31"
"Magé","2.73987398739874","2011-12-31"
"Araguapaz","6.36965467883342","2011-12-31"
"Ipanema","9.9352380952381","2011-12-31"
"Analândia","7.12162780064015","2011-12-31"
"Itabirinha","7.56972111553785","2011-12-31"
